190.00,100.00,172.00,178.00
186.95,99.02,173.20,177.04
183.89,98.03,174.40,176.08
179.76,95.47,177.76,178.28
173.81,99.57,184.76,182.44
170.74,98.26,186.00,181.40
169.02,98.35,184.52,177.56
165.55,99.21,186.56,177.16
160.82,102.30,191.12,180.52
158.05,101.24,191.76,178.96
156.97,101.98,189.00,173.80
158.22,108.01,181.60,165.72
161.05,109.08,179.08,160.60
154.99,109.21,186.96,165.88
152.61,108.68,187.48,163.24
151.52,105.75,192.40,165.40
145.23,110.13,193.76,164.56
143.80,110.08,192.40,161.68
149.91,111.52,193.60,160.72
145.68,109.03,197.84,162.04
143.59,115.57,197.80,159.80
135.20,110.18,210.36,167.64
134.39,110.72,207.76,163.60
135.32,121.33,203.04,158.44
140.91,120.25,204.36,157.56
138.00,119.00,206.00,157.00
138.72,118.96,202.24,156.12
139.33,118.80,198.72,155.48
148.60,118.58,195.32,154.96
148.96,118.20,192.08,154.76
157.68,126.26,189.20,154.80
163.46,123.26,192.40,159.64
163.78,122.95,188.80,159.08
164.10,122.65,185.20,158.52
174.05,123.31,179.04,156.04
182.30,120.25,181.80,161.00
192.89,121.75,174.40,156.84
202.27,122.22,168.72,154.72
213.01,121.14,167.20,155.72
223.21,120.84,163.60,155.16
224.21,121.44,158.80,152.80
224.00,124.52,156.40,154.04
223.59,123.85,154.40,154.76
225.51,128.16,147.76,150.76
233.72,128.17,143.12,149.36
234.41,132.42,141.40,150.20
234.07,131.16,139.20,151.88
232.33,128.45,139.80,156.44
239.21,129.04,136.20,155.96
242.26,138.16,127.80,149.72
243.00,138.00,124.00,149.00
244.00,135.69,122.56,150.00
244.49,133.90,121.12,151.00
245.46,133.35,117.68,149.00
246.70,138.03,113.72,147.48
247.60,136.56,111.20,146.80
247.82,135.62,110.04,148.16
247.58,133.38,108.88,149.52
243.70,135.99,107.08,149.92
237.42,133.02,106.56,152.24
239.33,132.03,102.40,150.60
237.52,129.44,101.44,152.16
235.03,127.63,99.44,152.16
233.51,126.24,96.56,151.32
234.51,124.27,94.80,151.64
235.43,121.98,93.20,152.60
235.91,119.25,92.48,154.44
236.07,116.20,92.40,156.92
235.78,113.51,91.60,158.68
237.41,112.20,88.80,157.68
238.45,116.10,87.20,156.20
239.10,113.76,86.36,157.76
239.64,117.37,85.76,159.56
245.95,113.70,85.76,164.72
245.72,109.70,86.72,169.16
240.00,107.00,86.00,171.00
239.60,106.83,86.20,171.40
238.24,105.13,88.32,174.88
229.70,101.68,91.36,181.84
234.07,103.87,93.48,186.12
235.85,106.98,91.60,182.40
234.32,101.29,95.72,190.68
232.83,100.45,98.40,196.08
241.64,107.60,98.60,196.52
245.78,107.28,99.36,197.44
246.33,113.31,97.40,194.20
249.06,113.11,97.44,194.32
249.90,114.90,95.48,190.44
256.28,113.66,96.56,192.64
255.96,113.13,96.92,193.40
255.09,111.48,98.40,196.40
254.41,110.24,99.48,198.60
255.42,107.79,101.76,203.20
264.79,104.05,105.48,210.40
263.95,108.45,106.80,213.12
263.67,108.37,107.00,213.60
267.66,110.60,105.20,210.08
262.41,113.73,102.12,204.00
269.63,113.82,102.08,204.00
269.35,114.29,101.96,203.84
269.00,114.00,102.00,204.00
268.94,114.00,102.32,204.28
276.42,114.00,102.64,204.56
276.37,114.00,102.96,204.84
277.16,115.68,101.60,201.76
277.07,115.60,102.00,202.20
277.22,116.00,101.92,201.68
277.17,116.00,102.24,201.96
276.44,114.64,103.92,204.96
276.43,114.72,104.16,205.08
276.02,114.00,105.20,206.80
275.97,114.00,105.52,207.08
283.10,112.96,106.88,209.44
283.58,114.00,106.16,207.64
283.98,114.88,105.60,206.16
283.89,114.80,106.00,206.60
278.83,114.72,106.40,207.04
279.11,116.00,105.44,204.76
284.32,116.00,105.76,205.04
284.27,116.00,106.08,205.32
284.23,116.00,106.40,205.60
284.18,116.00,106.72,205.88
284.14,116.00,107.04,206.16
284.09,116.00,107.36,206.44
284.05,116.00,107.68,206.72
284.00,116.00,108.00,207.00
284.95,117.70,107.08,204.76
285.81,119.29,106.32,202.76
286.60,120.75,105.72,201.00
287.47,122.34,104.96,199.00
288.33,123.92,104.20,197.00
289.08,125.15,103.68,195.72
287.20,124.81,104.96,197.56
288.84,130.46,102.16,191.48
289.32,136.90,101.68,190.04
291.74,138.15,101.20,188.60
291.85,138.28,101.84,189.40
290.61,129.03,105.20,194.68
292.20,132.22,102.88,189.48
292.75,133.33,102.64,188.44
289.20,134.43,102.40,187.40
290.48,137.54,100.16,182.36
291.76,140.31,97.92,178.00
291.60,140.87,98.56,178.04
291.28,142.47,99.52,179.40
293.00,145.77,96.40,173.40
293.20,146.42,96.32,172.72
293.52,147.24,96.00,171.68
293.76,147.99,95.84,170.80
293.92,148.55,95.84,170.28
294.00,149.00,96.00,170.00
293.49,148.30,96.24,170.72
293.90,148.99,94.64,168.68
286.82,148.23,94.96,169.52
281.16,143.38,94.24,168.28
272.79,139.89,97.20,174.40
260.32,139.20,97.36,174.92
245.19,138.10,97.92,176.24
216.46,137.73,97.76,176.12
209.62,137.44,97.20,175.84
204.37,135.23,99.20,179.40
200.41,133.97,99.92,181.04
195.53,131.76,102.08,184.60
175.84,134.49,102.92,186.40
168.07,128.63,104.00,189.12
163.22,128.36,103.80,188.80
161.33,120.32,104.36,189.64
153.00,118.32,105.64,192.64
153.16,116.57,104.40,191.68
152.43,116.59,104.16,191.12
150.91,107.91,106.40,195.80
150.14,105.51,107.12,197.44
148.06,102.62,110.48,202.60
140.93,107.06,104.72,193.12
141.08,107.95,103.44,190.72
133.00,107.00,104.00,192.00
126.08,107.19,107.32,191.76
126.13,107.22,110.96,191.84
134.38,108.85,113.16,188.72
135.73,110.38,114.56,185.80
137.46,105.28,115.20,181.40
144.14,107.22,116.16,177.48
144.50,106.70,119.00,178.48
146.12,97.27,123.36,180.84
147.58,97.66,125.04,179.72
142.68,91.55,130.40,182.80
137.93,83.11,134.16,184.12
